Data Structure	NR Code	HP Code	RCU Code	NR Proof	HP Proof	RCU Proof
Counter	23	30 (30.4%)	30 (30.4%)	138	175 (26.8%)	168 (21.7%)
Treiber Stack	38	52 (36.8%)	51 (34.2%)	198	248 (25.3%)	233 (17.7%)
Elimination Stack	54	71 (31.5%)	70 (29.6%)	283	399 (41.0%)	381 (34.6%)
Michael-Scott Queue	55	72 (30.9%)	68 (23.6%)	463	604 (30.5%)	578 (24.8%)
DGLM Queue	55	76 (38.2%)	68 (23.6%)	462	775 (67.7%)	731 (58.2%)
Harris Set	106	206 (94.3%)	138 (30.2%)	1,339	1,927 (43.9%)	1,762 (31.6%)
Harris-Michael Set	93	144 (54.8%)	116 (24.7%)	1,137	1,260 (10.8%)	1,452 (27.7%)
Chase-Lev Deque	82	90 (9.8%)	89 (8.5%)	1,111	1,289 (16.0%)	1,279 (15.1%)
RDCSS	52	75 (44.2%)	68 (30.8%)	398	528 (32.7%)	466 (17.1%)
total	558	816 (46.2%)	698 (25.1%)	5,529	7,205 (30.3%)	7,050 (27.5%)
